"Freq [GHz]","dB(S(1,1)) []"
2.098,-13.3933410637571
2.099,-13.308004699848
2.1,-13.2235158543378
2.101,-13.1398685978247
2.102,-13.0570566274923
2.103,-12.9750733089247
2.104,-12.8939117145449
2.105,-12.8135646589309
2.106,-12.7340247312446
2.107,-12.655284324993
2.108,-12.5773356653246
2.109,-12.5001708340499
2.11,-12.423781792559
2.111,-12.3481604028008
2.112,-12.2732984464706
2.113,-12.1991876425468
2.114,-12.1258196633035
2.115,-12.0531861489187
2.116,-11.9812787207861
2.117,-11.9100889936343
2.118,-11.8396085865437
2.119,-11.7698291329509
2.12,-11.7007422897178
2.121,-11.6323397453417
2.122,-11.5646132273712
2.123,-11.4975545090951
2.124,-11.4311554155582
2.125,-11.365407828961
2.126,-11.30030369349
2.127,-11.2358350196269
2.128,-11.1719938879771
2.129,-11.1087724526564
2.13,-11.0461629442739
2.131,-10.9841576725411
2.132,-10.9227490285407
2.133,-10.8619294866817
2.134,-10.8016916063673
2.135,-10.7420280333992
2.136,-10.682931501142
2.137,-10.6243948314661
2.138,-10.5664109354891
2.139,-10.5089728141335
2.14,-10.4520735585158
2.141,-10.3957063501824
2.142,-10.3398644612055
2.143,-10.284541254153
2.144,-10.2297301819412
2.145,-10.1754247875846
2.146,-10.1216187038494
2.147,-10.0683056528219
2.148,-10.0154794453996
2.149,-9.96313398071214
2.15,-9.91126324548
2.151,-9.85986131331716
2.152,-9.80892234398358
2.153,-9.75844058259351
2.154,-9.70841035878406
2.155,-9.65882608584946
2.156,-9.60968225984477
2.157,-9.56097345866326
2.158,-9.51269434109087
2.159,-9.46483964584147
2.16,-9.41740419057557
2.161,-9.37038287090561
2.162,-9.32377065938999
2.163,-9.27756260451875
2.164,-9.2317538296925
2.165,-9.18633953219704
2.166,-9.14131498217494
2.167,-9.09667552159626
2.168,-9.05241656322942
2.169,-9.00853358961408
2.17,-8.96502215203654
2.171,-8.92187786950955
2.172,-8.87909642775701
2.173,-8.83667357820477
2.174,-8.79460513697788
2.175,-8.75288698390573
2.176,-8.71151506153515
2.177,-8.67048537415237
2.178,-8.62979398681403
2.179,-8.58943702438821
2.18,-8.54941067060536
2.181,-8.50971116711989
2.182,-8.47033481258236
2.183,-8.43127796172294
2.184,-8.39253702444597
2.185,-8.35410846493612
2.186,-8.31598880077607
2.187,-8.27817460207596
2.188,-8.24066249061481
2.189,-8.20344913899367
2.19,-8.16653126980079
2.191,-8.12990565478887
2.192,-8.09356911406421
2.193,-8.05751851528791
2.194,-8.0217507728889
2.195,-7.98626284728909
2.196,-7.9510517441402
2.197,-7.91611451357254
2.198,-7.88144824945536
2.199,-7.84705008866896
2.2,-7.81291721038822
2.201,-7.77904683537781
2.202,-7.74543622529833
2.203,-7.71208268202402
2.204,-7.6789835469714
2.205,-7.64613620043893
2.206,-7.61353806095739
2.207,-7.58118658465115
2.208,-7.54907926460978
2.209,-7.5172136302704
2.21,-7.48558724680988
2.211,-7.4541977145476
2.212,-7.42304266835795
2.213,-7.39211977709284
2.214,-7.36142674301373
2.215,-7.33096130123346
2.216,-7.3007212191672
2.217,-7.27070429599308
2.218,-7.24090836212148
2.219,-7.21133127867361
2.22,-7.18197093696882
2.221,-7.15282525802064
2.222,-7.12389219204132
2.223,-7.0951697179548
2.224,-7.06665584291786
2.225,-7.03834860184966
2.226,-7.01024605696889
2.227,-6.98234629733908
2.228,-6.95464743842148
2.229,-6.92714762163555
2.23,-6.89984501392698
2.231,-6.87273780734288
2.232,-6.84582421861425
2.233,-6.81910248874568
2.234,-6.79257088261162
2.235,-6.76622768855982
2.236,-6.74007121802144
2.237,-6.71409980512748
2.238,-6.68831180633196
2.239,-6.66270560004135
2.24,-6.63727958625024
2.241,-6.61203218618316
2.242,-6.58696184194241
2.243,-6.56206701616186
2.244,-6.53734619166639
2.245,-6.51279787113737
2.246,-6.48842057678336
2.247,-6.46421285001665
