Freq(GHz),S11 Log Mag(dB)
2.285,1.18757
2.286,1.1905428
2.287,1.2055525
2.288,1.1985154
2.289,1.2409259
2.29,1.2560241
2.291,1.2427024
2.292,1.2372754
2.293,1.2262915
2.294,1.2689143
2.295,1.2509141
2.296,1.2290136
2.297,1.2495371
2.298,1.2386531
2.299,1.2370039
2.3,1.2345415
2.301,1.2458026
2.302,1.2402922
2.303,1.1834985
2.304,1.2080519
2.305,1.2053589
2.306,1.2035869
2.307,1.1799464
2.308,1.126173
2.309,1.1718564
2.31,1.0945333
2.311,1.1342362
2.312,1.1159105
2.313,1.0974997
2.314,1.1243657
2.315,1.0712806
2.316,1.0799677
2.317,1.0933148
2.318,1.0672053
2.319,0.99398321
2.32,1.0121853
2.321,1.0215305
2.322,0.99863911
2.323,1.0165716
2.324,0.97174597
2.325,0.97957265
2.326,0.96516252
2.327,0.94808096
2.328,0.91630948
2.329,0.92834926
2.33,0.92009538
2.331,0.89445168
2.332,0.89622545
2.333,0.85486597
2.334,0.83495784
2.335,0.81605524
2.336,0.78871596
2.337,0.78116441
2.338,0.76533717
2.339,0.71274316
2.34,0.7246328
2.341,0.67182767
2.342,0.67521542
2.343,0.66177219
2.344,0.62786782
2.345,0.6109221
2.346,0.58886683
2.347,0.57716358
2.348,0.55348098
2.349,0.54555905
2.35,0.51830989
2.351,0.50511402
2.352,0.49530411
2.353,0.462336
2.354,0.43562755
2.355,0.4244107
2.356,0.403312
2.357,0.37725556
2.358,0.35403129
2.359,0.31185594
2.36,0.33289719
2.361,0.33819383
2.362,0.29133204
2.363,0.28965247
2.364,0.27925122
2.365,0.24914888
2.366,0.24227121
2.367,0.2109928
2.368,0.18516718
2.369,0.18220927
2.37,0.18737264
2.371,0.14137615
2.372,0.14740734
2.373,0.15671754
2.374,0.14069775
2.375,0.13038532
2.376,0.094541378
2.377,0.097405769
2.378,0.064844579
2.379,0.075471848
2.38,0.077269398
2.381,0.05625055
2.382,0.040542081
2.383,0.017222205
2.384,0.023075778
2.385,0.015367998
2.386,0.0071867965
2.387,-0.0047871172
2.388,-0.026274983
2.389,-0.01991233
2.39,-0.038689516
2.391,-0.054118019
2.392,-0.080806062
2.393,-0.067809097
2.394,-0.10344134
2.395,-0.11018322
2.396,-0.10734378
2.397,-0.1077769
2.398,-0.11119967
2.399,-0.13598515
2.4,-0.14235222
2.401,-0.17222202
2.402,-0.16473369
2.403,-0.16602798
2.404,-0.15675679
2.405,-0.17026445
2.406,-0.17474608
2.407,-0.17366953
2.408,-0.19694419
2.409,-0.22695404
2.41,-0.2107576
2.411,-0.23204771
2.412,-0.23564032
2.413,-0.24281506
2.414,-0.24200201
2.415,-0.25695446
2.416,-0.27318558
2.417,-0.28650299
2.418,-0.28353566
2.419,-0.28615305
2.42,-0.27699023
2.421,-0.29820493
2.422,-0.30531394
2.423,-0.33677521
2.424,-0.34491718
2.425,-0.34419978
2.426,-0.3580322
2.427,-0.35888201
2.428,-0.36918095
2.429,-0.38502297
2.43,-0.38622627
2.431,-0.39352742
2.432,-0.42204356
2.433,-0.42881343
2.434,-0.40560898
2.435,-0.44560313
2.436,-0.4420222
2.437,-0.42604753
2.438,-0.46868837
2.439,-0.45602491
2.44,-0.4874956
2.441,-0.478726
2.442,-0.5000056
2.443,-0.5275625
2.444,-0.5198853
2.445,-0.53075886
2.446,-0.54227781
2.447,-0.53594095
2.448,-0.5458582
2.449,-0.54388636
2.45,-0.56870103
2.451,-0.58039236
2.452,-0.56195128
2.453,-0.58971065
2.454,-0.58941627
2.455,-0.6023103
2.456,-0.58924609
2.457,-0.61890507
2.458,-0.613217
2.459,-0.62916625
2.46,-0.62663317
2.461,-0.62759113
2.462,-0.63317597
2.463,-0.62961918
2.464,-0.66042501
2.465,-0.65874565
2.466,-0.66717672
2.467,-0.6604178
2.468,-0.68127382
2.469,-0.68131
2.47,-0.69219172
2.471,-0.70057386
2.472,-0.70070648
2.473,-0.71978599
2.474,-0.71682972
2.475,-0.73366135
2.476,-0.74023479
2.477,-0.73866278
2.478,-0.75382751
2.479,-0.75967717
2.48,-0.76948088
2.481,-0.76784074
2.482,-0.78760469
2.483,-0.77338392
2.484,-0.80894065
2.485,-0.80797017
2.486,-0.80236578
2.487,-0.82063484
2.488,-0.83793139
2.489,-0.82911086
2.49,-0.84006929
2.491,-0.84988481
2.492,-0.85044229
2.493,-0.86965799
2.494,-0.85099322
2.495,-0.87783527
2.496,-0.88902056
2.497,-0.90568227
2.498,-0.89233375
2.499,-0.89828342
2.5,-0.90684688
2.501,-0.91662169
2.502,-0.91854459
2.503,-0.92149997
2.504,-0.95113486
2.505,-0.92749161
2.506,-0.92968565
2.507,-0.94578755
2.508,-0.94129676
2.509,-0.95099461
2.51,-0.97451586
2.511,-0.9569912
2.512,-0.96064895
2.513,-0.96339625
2.514,-0.97172487
2.515,-0.96714544
2.516,-0.96455365
2.517,-1.0061469
2.518,-0.9718039
2.519,-0.99369687
2.52,-0.98276049
2.521,-1.0071175
2.522,-1.0002283
2.523,-0.99799174
2.524,-1.0138632
2.525,-1.027202
2.526,-1.0217948
2.527,-1.037892
2.528,-1.0178832
2.529,-1.028623
2.53,-1.044892
2.531,-1.0390956
2.532,-1.0333526
2.533,-1.0589362
2.534,-1.0689503
2.535,-1.0661906
2.536,-1.0817331
2.537,-1.0576067
2.538,-1.0792489
2.539,-1.0837637
2.54,-1.0849437
2.541,-1.0919851
2.542,-1.1017145
2.543,-1.1052905
2.544,-1.116811
2.545,-1.1187627
2.546,-1.1253431
2.547,-1.1389493
2.548,-1.1513164
2.549,-1.1474234
2.55,-1.1547629
2.551,-1.1539978
2.552,-1.165659
2.553,-1.1673272
2.554,-1.162469
2.555,-1.1583021
2.556,-1.1634529
2.557,-1.1839679
2.558,-1.1861101
2.559,-1.1932625
2.56,-1.1726696
2.561,-1.1809913
2.562,-1.1937616
2.563,-1.1759921
2.564,-1.1839741
2.565,-1.1938006
2.566,-1.18366
2.567,-1.2004932
2.568,-1.1805764
2.569,-1.18187
2.57,-1.2182266
2.571,-1.1833942
2.572,-1.1932243
2.573,-1.2050228
2.574,-1.204628
