!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Wednesday, February 24, 2016 10:32:04
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB)
2000000000,-2.3082547
2001000000,-2.2720115
2002000000,-2.254879
2003000000,-2.3098786
2004000000,-2.2841258
2005000000,-2.2862661
2006000000,-2.2595947
2007000000,-2.2981625
2008000000,-2.2676008
2009000000,-2.2756557
2010000000,-2.2874651
2011000000,-2.333921
2012000000,-2.3293085
2013000000,-2.3562565
2014000000,-2.3392529
2015000000,-2.297699
2016000000,-2.3335598
2017000000,-2.3234863
2018000000,-2.3287444
2019000000,-2.3649607
2020000000,-2.3325491
2021000000,-2.4008951
2022000000,-2.4042196
2023000000,-2.3981311
2024000000,-2.3920441
2025000000,-2.4268851
2026000000,-2.4336448
2027000000,-2.4382541
2028000000,-2.4353323
2029000000,-2.4456306
2030000000,-2.4666011
2031000000,-2.4373071
2032000000,-2.4534707
2033000000,-2.4779875
2034000000,-2.4546728
2035000000,-2.5208006
2036000000,-2.4957981
2037000000,-2.5406811
2038000000,-2.5094707
2039000000,-2.5005255
2040000000,-2.5731318
2041000000,-2.5723538
2042000000,-2.6109791
2043000000,-2.6530051
2044000000,-2.6153741
2045000000,-2.6576724
2046000000,-2.6868837
2047000000,-2.6921828
2048000000,-2.6767533
2049000000,-2.6995847
2050000000,-2.7217066
2051000000,-2.726728
2052000000,-2.7818837
2053000000,-2.7388942
2054000000,-2.7620382
2055000000,-2.7759159
2056000000,-2.7968776
2057000000,-2.7560925
2058000000,-2.7377746
2059000000,-2.7705491
2060000000,-2.7970772
2061000000,-2.7995346
2062000000,-2.8115697
2063000000,-2.8319674
2064000000,-2.8049176
2065000000,-2.8251894
2066000000,-2.8376338
2067000000,-2.7846549
2068000000,-2.8192954
2069000000,-2.8412681
2070000000,-2.8414853
2071000000,-2.8323755
2072000000,-2.7811787
2073000000,-2.8028855
