!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Wednesday, February 24, 2016 17:07:17
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 SWR(U)
1902000000,26.565392
1903000000,25.983561
1904000000,23.296804
1905000000,22.915253
1906000000,22.864712
1907000000,21.773138
1908000000,21.117054
1909000000,21.459101
1910000000,22.677786
1911000000,21.382496
1912000000,20.229277
1913000000,19.521694
1914000000,19.105238
1915000000,20.013727
1916000000,19.299589
1917000000,19.236164
1918000000,19.735411
1919000000,18.585314
1920000000,18.796621
1921000000,18.286249
1922000000,18.172783
1923000000,17.995131
1924000000,17.255997
1925000000,17.736996
1926000000,17.353298
1927000000,16.406023
1928000000,16.189592
1929000000,16.021122
1930000000,15.952909
1931000000,15.70763
1932000000,15.157238
1933000000,15.096396
1934000000,15.232758
1935000000,14.985615
1936000000,14.915657
1937000000,14.308167
1938000000,14.191911
1939000000,13.814865
1940000000,13.651027
1941000000,13.168892
1942000000,12.553726
1943000000,12.684274
1944000000,12.728909
1945000000,12.27567
1946000000,12.438066
1947000000,11.930487
1948000000,11.620304
1949000000,11.888256
1950000000,11.427303
1951000000,11.502592
1952000000,11.304568
1953000000,11.079183
1954000000,10.946782
1955000000,10.780394
1956000000,10.810805
1957000000,10.661878
1958000000,10.348275
1959000000,10.268436
1960000000,10.172881
1961000000,10.145552
1962000000,10.019973
1963000000,10.185666
1964000000,9.7927618
1965000000,10.08679
1966000000,9.7512445
1967000000,9.8033104
1968000000,9.6173973
1969000000,9.6774216
1970000000,9.7394543
1971000000,9.6948776
1972000000,9.5111694
1973000000,9.8538227
1974000000,10.012316
1975000000,9.8338575
1976000000,9.6670599
1977000000,9.6692629
1978000000,9.7617788
1979000000,9.8175354
1980000000,9.7641582
1981000000,9.4949026
1982000000,9.6738129
1983000000,9.6454954
1984000000,9.5900097
1985000000,9.8342619
1986000000,9.824851
1987000000,9.8088055
1988000000,9.543869
1989000000,10.169714
1990000000,9.8617029
1991000000,10.144091
1992000000,9.741333
1993000000,10.154476
1994000000,10.133226
1995000000,10.028266
1996000000,10.06481
1997000000,10.152937
1998000000,10.219715
1999000000,10.534087
2000000000,10.323296
2001000000,10.517383
2002000000,10.582747
2003000000,10.538701
2004000000,10.59538
2005000000,10.653013
2006000000,10.861129
2007000000,10.696776
2008000000,11.056343
2009000000,11.460751
2010000000,11.084458
2011000000,11.143826
2012000000,11.2293
2013000000,11.129594
2014000000,11.324325
2015000000,11.604482
2016000000,11.702843
2017000000,11.60473
2018000000,11.862592
2019000000,11.684661
2020000000,11.944955
2021000000,11.690361
2022000000,11.908169
2023000000,12.043911
2024000000,12.125749
2025000000,12.1259
2026000000,11.934685
2027000000,12.078884
2028000000,12.190901
2029000000,12.097795
2030000000,12.193523
2031000000,12.515187
2032000000,12.503993
2033000000,12.304874
2034000000,12.696567
2035000000,12.195025
2036000000,12.833413
2037000000,12.597795
2038000000,12.866526
2039000000,13.110236
2040000000,12.73004
2041000000,12.976754
2042000000,12.502587
2043000000,12.545939
2044000000,13.023848
2045000000,12.965014
2046000000,12.554062
2047000000,12.850614
2048000000,12.924567
2049000000,12.958979
2050000000,12.800028
2051000000,12.628803
2052000000,12.228737
2053000000,12.769351
2054000000,12.921352
2055000000,12.566723
2056000000,12.40554
2057000000,12.746056
2058000000,13.047807
2059000000,12.743463
2060000000,12.514313
2061000000,12.763989
2062000000,12.810146
2063000000,12.357594
2064000000,12.757115
2065000000,12.781728
2066000000,12.640006
2067000000,13.183636
2068000000,12.855357
2069000000,12.813293
2070000000,12.592769
2071000000,12.304813
2072000000,13.26371
2073000000,13.120885
2074000000,13.290938
2075000000,13.183127
2076000000,13.016195
2077000000,13.620935
2078000000,12.805962
2079000000,13.054284
2080000000,13.251131
2081000000,14.045305
2082000000,13.669071
2083000000,13.752655
2084000000,13.619213
2085000000,14.108331
2086000000,13.963875
2087000000,13.950129
2088000000,13.461514
2089000000,14.247001
2090000000,14.062196
2091000000,14.779708
2092000000,14.249758
2093000000,14.616897
2094000000,14.09884
2095000000,14.451623
2096000000,14.49241
2097000000,14.660918
2098000000,13.918954
2099000000,14.51368
2100000000,14.315126
2101000000,14.099971
2102000000,13.661098
2103000000,14.556117
2104000000,13.904411
2105000000,13.540319
2106000000,14.054019
2107000000,13.836489
2108000000,14.228391
2109000000,13.416529
2110000000,13.268487
2111000000,13.424665
2112000000,12.994219
2113000000,12.532997
2114000000,12.71838
2115000000,12.334177
2116000000,12.581886
2117000000,12.776288
2118000000,11.919551
2119000000,12.041391
2120000000,11.563866
2121000000,11.452762
2122000000,10.946651
2123000000,10.681301
2124000000,10.558708
2125000000,10.79478
2126000000,9.8987455
2127000000,9.8463974
2128000000,9.7238045
2129000000,9.28409
2130000000,9.3363209
2131000000,9.2972231
2132000000,8.6791706
2133000000,8.4016705
2134000000,8.1999111
2135000000,8.0892515
2136000000,8.0721216
2137000000,7.6841688
2138000000,7.5481772
2139000000,7.1727028
2140000000,7.0061789
2141000000,6.9080873
2142000000,6.6735177
2143000000,6.5982528
2144000000,6.2778959
2145000000,6.1173005
2146000000,5.9817176
2147000000,5.7784481
2148000000,5.5260248
2149000000,5.422112
2150000000,5.2645154
2151000000,5.0546203
2152000000,4.9073257
2153000000,4.7582312
2154000000,4.6434236
2155000000,4.5356545
2156000000,4.3663521
2157000000,4.2073784
2158000000,4.1563506
