Freq(GHz),S11 Log Mag(dB)
1.984,-1.8180540731602708
1.985,-1.7725811906579334
1.986,-1.7742909146509924
1.987,-1.777213623401003
1.988,-1.8269084125678956
1.989,-1.7137252554363833
1.99,-1.7676146742104053
1.991,-1.718082207264744
1.992,-1.7896103146138826
1.993,-1.7163136591638315
1.994,-1.7199364168556097
1.995,-1.7380577290184451
1.996,-1.7317051035338924
1.997,-1.716575517696205
1.998,-1.7052865778723039
1.999,-1.6540822459399411
2.0,-1.6880677532053447
2.001,-1.656725250653388
2.002,-1.6464309600405618
2.003,-1.6533536820400894
2.004,-1.6444561450307302
2.005,-1.635506797632038
2.006,-1.60398778249546
2.007,-1.6287761934923883
2.008,-1.5755103456502961
2.009,-1.5196270623472576
2.01,-1.5714923017162794
2.011,-1.5630748977227074
2.012,-1.5511136667678875
2.013,-1.565084510676862
2.014,-1.5380295028063462
2.015,-1.5007108625718781
2.016,-1.4880355135694776
2.017,-1.5006786316912921
2.018,-1.4679005276572292
2.019,-1.490362351344786
2.02,-1.4577312948172294
2.021,-1.4896321104037642
2.022,-1.4622556985419368
2.023,-1.4456985758204217
2.024,-1.4358967439716994
2.025,-1.4358787816507643
2.026,-1.4589916020146623
2.027,-1.4414934550593697
2.028,-1.4281881422706033
2.029,-1.4392298117163207
2.03,-1.4278796505978832
2.031,-1.3910212809923619
2.032,-1.3922719076202439
2.033,-1.414900796495625
2.034,-1.3710662683153898
2.035,-1.4277029928028409
2.036,-1.3563864187106853
2.037,-1.3818612297239974
2.038,-1.3528815035219721
2.039,-1.3276334196274886
2.04,-1.367446187885791
2.041,-1.341343840772844
2.042,-1.3924291494038314
2.043,-1.3875971375343001
2.044,-1.3364743694295933
2.045,-1.342563286231199
2.046,-1.3866954844185708
2.047,-1.354563474508344
2.048,-1.3467816221552067
2.049,-1.343191012647336
2.05,-1.3599385948674088
2.051,-1.37845401320353
2.052,-1.423749449240568
2.053,-1.3632191148740638
2.054,-1.3471180637307736
2.055,-1.3852924523952581
2.056,-1.403369218140541
2.057,-1.365720836224634
2.058,-1.3340106038407678
2.059,-1.3659998756383396
2.06,-1.3911188458030266
2.061,-1.3637941424285027
2.062,-1.3588600686503491
2.063,-1.4088379836825073
2.064,-1.364532030177756
2.065,-1.3618936434568107
2.066,-1.3772271436419905
2.067,-1.3202132358640126
2.068,-1.354061679531542
2.069,-1.3585249642139203
