!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Wednesday, March 09, 2016 18:34:14
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S21 Phase(°),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm)
1124363636.3636,0.71648598,-88.154816,172.0314,-60.159779,-258.79968
1125090909.0909,0.71082729,-89.222389,-162.38188,-59.552528,-258.62241
1125818181.8182,0.70977199,-93.227531,-72.8563,-59.313412,-258.31888
1126545454.5455,0.70796007,-93.034973,-134.59323,-59.087025,-258.19077
1127272727.2727,0.70836025,-88.667847,-123.16494,-58.888859,-257.68475
1128000000,0.71148384,-89.416512,-153.66512,-58.946579,-257.1944
1128727272.7273,0.70982188,-84.001129,-155.0347,-58.714115,-257.02008
1129454545.4545,0.7063728,-87.292953,-133.00725,-58.108757,-256.38657
1130181818.1818,0.70295125,-86.656227,-165.72845,-57.54549,-255.8295
1130909090.9091,0.70440412,-89.190536,-148.61613,-57.509075,-255.46344
1131636363.6364,0.69645119,-85.14801,-168.61803,-56.580688,-254.98077
1132363636.3636,0.69700265,-86.524261,-175.34674,-56.375389,-254.4136
1133090909.0909,0.69126022,-84.625397,164.8436,-55.715042,-254.06923
1133818181.8182,0.68579543,-88.623787,178.28024,-55.088543,-253.73637
1134545454.5455,0.67911339,-82.930527,-174.12637,-54.438389,-253.58472
1135272727.2727,0.67893457,-88.227715,162.07635,-54.139687,-252.92889
1136000000,0.66976231,-86.295135,-147.7392,-53.44342,-253.15968
1136727272.7273,0.66047633,-99.189384,165.13634,-52.588631,-253.035
1137454545.4545,0.65610242,-92.888397,141.0376,-52.131874,-252.84161
1138181818.1818,0.64955127,-92.548759,-92.33783,-51.632149,-252.99408
1138909090.9091,0.6427443,-87.396049,-114.531,-50.916218,-252.66583
1139636363.6364,0.63692164,-86.447937,178.10727,-50.463493,-252.77516
1140363636.3636,0.63346171,-84.594971,-165.81268,-50.022484,-252.40652
1141090909.0909,0.62987751,-86.021973,-153.86632,-49.692612,-252.34079
1141818181.8182,0.62564719,-89.768799,177.2318,-49.290291,-252.22752
1142545454.5455,0.62143421,-85.906677,176.53159,-48.829414,-251.95592
1143272727.2727,0.61359018,-87.425346,168.37999,-48.223957,-252.09732
1144000000,0.61262578,-86.054886,-152.07475,-48.086121,-251.94817
1144727272.7273,0.61376023,-84.035599,98.82856,-48.018246,-251.52016
1145454545.4545,0.60241246,-92.100838,-175.76736,-47.069744,-251.51694
1146181818.1818,0.60014677,-93.042908,-60.105408,-46.821617,-251.35669
1146909090.9091,0.60209066,-89.06411,-117.28272,-47.048672,-251.53233
1147636363.6364,0.59787738,-100.95977,-47.727177,-46.45422,-250.87186
1148363636.3636,0.58867323,-85.624794,-152.1387,-45.802078,-251.17065
1149090909.0909,0.59113473,-83.994637,-102.45953,-45.764278,-250.50662
1149818181.8182,0.58580917,-84.385895,-94.713989,-45.337276,-250.53694
1150545454.5455,0.58725244,-88.590652,155.8907,-45.25478,-249.97812
1151272727.2727,0.58101314,-84.18718,159.59993,-44.706566,-249.87059
1152000000,0.57792276,-88.707298,146.57535,-44.328766,-249.51384
1152727272.7273,0.57667172,-86.473824,156.13382,-44.108971,-249.17741
1153454545.4545,0.57302791,-81.937302,148.13577,-43.798733,-249.13364
1154181818.1818,0.56971067,-85.837746,124.33223,-43.429043,-248.84004
1154909090.9091,0.56598032,-86.249077,125.64842,-42.908218,-248.19691
1155636363.6364,0.56052518,-87.953331,119.28337,-42.503944,-248.29192
1156363636.3636,0.55547208,-92.165817,130.31573,-41.93309,-247.79337
1157090909.0909,0.55301219,-88.746597,106.89222,-41.758854,-247.85754
1157818181.8182,0.54687434,-97.435783,17.581585,-41.149529,-247.48735
1158545454.5455,0.54547834,-93.0494,133.1356,-41.042397,-247.49751
1159272727.2727,0.54400969,-116.89923,110.93728,-40.843777,-247.24469
1160000000,0.54120845,-96.091095,158.18768,-40.562717,-247.0592
1160727272.7273,0.53607678,-91.559265,-169.47189,-40.224197,-247.2626
1161454545.4545,0.52900946,-97.251213,-156.10953,-39.553349,-246.89891
1162181818.1818,0.53399903,-90.706947,-158.35628,-39.834682,-246.55402
1162909090.9091,0.5294143,-84.011673,-177.02242,-39.374748,-246.23198
1163636363.6364,0.52361119,-88.661644,170.35019,-38.784386,-245.78629
1164363636.3636,0.52330065,-94.480614,128.30399,-38.604309,-245.28293
1165090909.0909,0.51873344,-94.128586,149.25398,-38.256966,-245.29901
1165818181.8182,0.5155673,-103.74669,124.3666,-37.869461,-244.82736
1166545454.5455,0.50721282,-89.994545,122.34865,-37.247082,-244.88736
1167272727.2727,0.50187641,-98.34185,78.838005,-36.748211,-244.58093
1168000000,0.49662983,-97.213905,71.108208,-36.387695,-244.71643
1168727272.7273,0.49414319,-104.3442,123.00541,-36.118057,-244.44041
1169454545.4545,0.48754469,-95.10672,170.99649,-35.621078,-244.45607
1170181818.1818,0.4797425,-98.263161,-71.310188,-35.024124,-244.43825
1170909090.9091,0.48227084,-87.654579,-144.37915,-35.150047,-244.20514
1171636363.6364,0.47386196,-87.637505,-175.54184,-34.406612,-243.81564
1172363636.3636,0.47304919,-91.179924,143.39766,-34.343903,-243.8101
1173090909.0909,0.46805471,-88.25251,144.7744,-34.015022,-243.98193
1173818181.8182,0.46254519,-86.720985,139.32034,-33.54253,-243.7666
1174545454.5455,0.45717329,-95.332237,-178.91969,-33.141098,-243.77238
1175272727.2727,0.45671093,-89.519424,134.13139,-33.01907,-243.44287
1176000000,0.44998324,-85.109047,-151.34662,-32.497139,-243.36862
1176727272.7273,0.44784567,-100.55123,158.85796,-32.275608,-243.12904
1177454545.4545,0.44416803,-95.492691,-147.70866,-32.0228,-243.20984
1178181818.1818,0.44307593,-90.296021,39.084316,-31.917629,-243.11646
1178909090.9091,0.4376345,-99.521935,-146.41623,-31.427149,-242.77501
1179636363.6364,0.42871112,-105.34085,-136.09146,-30.733377,-242.63818
