!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Wednesday, March 09, 2016 18:21:19
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S21 Phase(�),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm)
1137454545.4545,0.5886724,-92.907585,46.383434,-45.10553,-249.24042
1138181818.1818,0.57807219,-94.961052,-135.34184,-44.387192,-249.64514
1138909090.9091,0.57408011,-93.448265,131.67192,-43.90678,-249.19933
1139636363.6364,0.57007432,-86.668289,-141.36589,-43.499241,-248.95825
1140363636.3636,0.56343603,-99.366554,161.88705,-42.93504,-248.87296
1141090909.0909,0.55985087,-91.882355,-134.40097,-42.645653,-248.86983
1141818181.8182,0.55494994,-99.983063,-169.87888,-42.184814,-248.66948
1142545454.5455,0.54999804,-85.983528,128.73203,-41.699978,-248.4032
1143272727.2727,0.54500526,-88.585129,144.92384,-41.287048,-248.35854
1144000000,0.54217756,-103.71613,96.525864,-41.054901,-248.33727
1144727272.7273,0.54293084,-92.296272,115.962,-40.877331,-247.6093
1145454545.4545,0.53216374,-84.768097,0.26288503,-40.080563,-247.77856
1146181818.1818,0.53109628,-97.321602,14.440491,-39.970341,-247.69716
1146909090.9091,0.52736449,-98.720306,97.276848,-39.653595,-247.62628
1147636363.6364,0.52905422,-83.213768,-96.937889,-39.637966,-247.15581
1148363636.3636,0.51957315,-91.604446,46.729237,-38.932697,-247.27927
1149090909.0909,0.52167934,-84.254616,-102.26733,-38.909824,-246.67435
1149818181.8182,0.51704478,-90.265709,-8.1760664,-38.569332,-246.74266
1150545454.5455,0.5151614,-87.052475,128.03249,-38.281067,-246.28053
1151272727.2727,0.51048428,-84.797722,-149.59898,-37.853123,-246.06578
1152000000,0.51128775,-86.905876,150.25475,-37.807739,-245.71021
1152727272.7273,0.50563103,-87.236351,124.31757,-37.24905,-245.30055
1153454545.4545,0.49980021,-87.278336,135.57414,-36.80508,-245.31308
1154181818.1818,0.49519756,-104.79347,-23.99931,-36.350563,-244.96429
1154909090.9091,0.49717402,-102.82997,-95.030106,-36.323002,-244.35242
1155636363.6364,0.48626122,-115.44149,-127.12917,-35.566071,-244.60512
1156363636.3636,0.48401687,-92.813469,-163.50453,-35.239864,-244.05539
1157090909.0909,0.48077482,-119.83501,57.238258,-34.943573,-243.87291
1157818181.8182,0.47467884,-96.359459,-10.033037,-34.460327,-243.78746
1158545454.5455,0.47264439,-97.577698,-108.05353,-34.292828,-243.73524
1159272727.2727,0.47182763,-90.021187,-161.85527,-34.186668,-243.57237
1160000000,0.46705523,-90.080391,-142.76488,-33.763577,-243.33334
1160727272.7273,0.46371746,-97.054672,-138.76596,-33.498878,-243.27795
1161454545.4545,0.4603799,-88.81356,132.18544,-33.181675,-243.02419
1162181818.1818,0.46359551,-97.819298,163.69984,-33.247696,-242.37646
1162909090.9091,0.45896727,-90.137115,-178.17157,-32.853436,-242.18416
