Freq(Hz),s21 unwrapped phase(Deg)
2729000000.0,-320.7893
2730000000.0,-321.6165
2731000000.0,-322.4832
2732000000.0,-323.2933
2733000000.0,-324.1205
2734000000.0,-325.2435
2735000000.0,-326.0709
2736000000.0,-326.8532
2737000000.0,-327.5709
2738000000.0,-328.5757
2739000000.0,-328.8949
2740000000.0,-329.5382
2741000000.0,-329.9633
2742000000.0,-330.2083
2743000000.0,-330.5696
2744000000.0,-330.5408
2745000000.0,-330.8166
2746000000.0,-330.7014
2747000000.0,-330.7621
2748000000.0,-330.4711
2749000000.0,-330.0865
2750000000.0,-329.7551
2751000000.0,-329.4216
2752000000.0,-328.9836
2753000000.0,-328.3641
2754000000.0,-328.0011
2755000000.0,-327.5293
2756000000.0,-327.162
2757000000.0,-326.6747
2758000000.0,-326.2356
2759000000.0,-326.0495
2760000000.0,-325.7672
2761000000.0,-325.5389
2762000000.0,-325.6399
2763000000.0,-325.6181
2764000000.0,-325.8247
2765000000.0,-325.956
2766000000.0,-326.2561
2767000000.0,-326.8616
2768000000.0,-327.3232
2769000000.0,-327.8889
2770000000.0,-328.5003
2771000000.0,-329.1381
2772000000.0,-330.1944
2773000000.0,-330.892
2774000000.0,-331.7765
2775000000.0,-332.6766
2776000000.0,-333.8094
2777000000.0,-334.7152
2778000000.0,-335.6734
2779000000.0,-336.5322
2780000000.0,-337.2925
2781000000.0,-338.0938
2782000000.0,-338.7878
2783000000.0,-339.4666
2784000000.0,-339.7029
2785000000.0,-340.1605
2786000000.0,-340.3088
2787000000.0,-340.4786
2788000000.0,-340.7461
2789000000.0,-340.5097
2790000000.0,-340.4455
2791000000.0,-340.3276
2792000000.0,-340.0196
2793000000.0,-339.5587
2794000000.0,-339.1978
2795000000.0,-338.5649
2796000000.0,-338.1448
2797000000.0,-337.9453
2798000000.0,-337.1458
2799000000.0,-336.7659
2800000000.0,-336.2628
2801000000.0,-335.6839
2802000000.0,-335.4981
2803000000.0,-335.2574
2804000000.0,-334.7935
2805000000.0,-334.8713
2806000000.0,-335.0525
2807000000.0,-334.9618
2808000000.0,-335.3391
2809000000.0,-335.302
2810000000.0,-335.6608
2811000000.0,-336.17
2812000000.0,-336.8492
2813000000.0,-337.5765
2814000000.0,-338.1629
2815000000.0,-339.0999
2816000000.0,-339.9823
2817000000.0,-341.0451
2818000000.0,-341.8616
2819000000.0,-342.9842
2820000000.0,-343.8322
2821000000.0,-344.8097
2822000000.0,-345.6351
2823000000.0,-346.7299
2824000000.0,-347.6298
2825000000.0,-348.2126
2826000000.0,-348.9581
