!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Wednesday, March 09, 2016 18:23:21
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S21 Phase(°),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm)
1136000000,0.35151026,-95.234772,-117.98913,-1610.4407,1177.1085
1136727272.7273,0.34659466,-92.40387,-87.798019,-1632.1544,1194.1643
1137454545.4545,0.34488004,-94.309036,-167.00035,-1634.1875,1202.0131
1138181818.1818,0.33118945,-83.956284,-167.1713,-1653.0446,1265.8501
1138909090.9091,0.33230129,-85.27018,-154.67514,-1683.7583,1251.2844
1139636363.6364,0.32714063,-92.316399,160.48045,-1683.6721,1278.7373
1140363636.3636,0.32295591,-86.125572,-142.51553,-1722.2242,1290.5406
1141090909.0909,0.32017714,-103.48483,-162.7739,-1711.7527,1308.8983
1141818181.8182,0.31700474,-88.712997,146.24788,-1725.8408,1322.8208
1142545454.5455,0.31066588,-93.788582,147.85342,-1740.5233,1355.1653
1143272727.2727,0.30571294,-92.354477,150.0434,-1751.0204,1381.4724
1144000000,0.30505657,-89.188736,148.68246,-1756.9977,1383.9158
1144727272.7273,0.30252185,-96.561775,112.98654,-1779.8643,1393.53
1145454545.4545,0.2936736,-87.60244,-173.68814,-1792.7948,1444.9562
1146181818.1818,0.29427284,-85.410683,-80.219757,-1792.1427,1441.3596
1146909090.9091,0.29092965,-85.792702,173.69237,-1767.3895,1467.1268
1147636363.6364,0.29278198,-88.754341,-45.349941,-1811.7991,1446.3535
1148363636.3636,0.28517503,-93.868568,-137.42041,-1793.6171,1498.4717
1149090909.0909,0.28492182,-84.108643,-76.376778,-1833.1238,1492.4711
1149818181.8182,0.28353548,-86.625084,-178.13586,-1806.5468,1506.6753
1150545454.5455,0.28243867,-86.426476,164.18799,-1836.5221,1508.1672
1151272727.2727,0.27830315,-89.640289,145.28436,-1841.23,1534.8777
1152000000,0.27549839,-82.342316,174.43713,-1858.0952,1550.8492
1152727272.7273,0.27759683,-89.261093,146.41141,-1851.1956,1537.8104
1153454545.4545,0.27707377,-88.311424,84.380875,-1848.4565,1541.8612
1154181818.1818,0.27556598,-90.068001,-173.64822,-1873.1208,1547.5819
1154909090.9091,0.2791706,-86.531876,128.05099,-1903.9147,1516.0262
1155636363.6364,0.27541575,-96.850647,-105.3875,-1897.578,1543.7506
1156363636.3636,0.27171439,-88.238434,121.64375,-1960.4298,1556.6509
1157090909.0909,0.2715157,-85.103142,-163.49213,-1965.579,1556.9229
1157818181.8182,0.26287222,-84.804802,-168.80322,-2009.5093,1612.8456
1158545454.5455,0.26808271,-88.358383,-151.2383,-1987.5895,1577.6027
1159272727.2727,0.27095652,-96.087486,140.44719,-1979.183,1557.8638
1160000000,0.2676374,-90.840027,165.01372,-2011.5618,1575.2766
1160727272.7273,0.26720288,-87.909401,161.13243,-1985.2145,1584.847
1161454545.4545,0.26440015,-100.00317,154.04655,-2014.1205,1599.8469
1162181818.1818,0.26777312,-99.254951,64.636627,-2063.2366,1560.5442
1162909090.9091,0.26710328,-91.456955,144.9342,-2102.4741,1554.4324
1163636363.6364,0.2634474,-96.458603,-74.032944,-2147.5291,1571.0559
1164363636.3636,0.26167327,-88.62574,160.2502,-2183.8333,1574.644
1165090909.0909,0.26024553,-95.708092,141.5114,-2225.011,1573.2733
1165818181.8182,0.25330907,-88.401672,145.0457,-2284.4802,1616.8741
1166545454.5455,0.25244918,-93.372902,83.870705,-2308.8428,1616.4462
1167272727.2727,0.2477138,-91.480705,-172.56245,-2336.6646,1653.1938
1168000000,0.24860626,-94.014015,170.5154,-2355.342,1637.4626
1168727272.7273,0.24582075,-87.704117,158.30629,-2413.6748,1643.9247
1169454545.4545,0.23735148,-85.995468,156.21538,-2457.0476,1718.7881
1170181818.1818,0.23484479,-87.147972,173.5079,-2430.9705,1755.3284
1170909090.9091,0.23532985,-88.890465,71.811531,-2462.0591,1739.3412
1171636363.6364,0.23342039,-86.042397,131.437,-2501.8667,1746.4794
1172363636.3636,0.22893099,-89.630325,152.36682,-2482.9309,1804.2295
1173090909.0909,0.22229639,-95.140808,91.575226,-2486.4592,1879.521
1173818181.8182,0.22281942,-86.748344,115.89265,-2451.6753,1883.0674
1174545454.5455,0.21652092,-92.723434,-129.04321,-2486.373,1947.2484
1175272727.2727,0.21694015,-89.616287,150.03459,-2585.7051,1914.8043
1176000000,0.21639614,-92.77742,53.803669,-2541.2908,1934.3984
1176727272.7273,0.21522684,-92.530151,168.20145,-2564.2019,1942.3729
1177454545.4545,0.21098624,-95.819336,168.8033,-2571.5051,1993.3201
1178181818.1818,0.20888674,-94.192642,-37.437389,-2559.8455,2022.6335
1178909090.9091,0.21040098,-90.794434,-9.8244333,-2604.1753,1992.1278
1179636363.6364,0.205548,-94.376007,141.97058,-2611.126,2053.1624
1180363636.3636,0.20393193,-82.41922,173.3559,-2599.5278,2076.999
1181090909.0909,0.20137762,-89.255783,124.56481,-2616.6235,2106.873
1181818181.8182,0.19893229,-94.911201,59.881306,-2653.1814,2131.811
1182545454.5455,0.19612029,-85.211487,176.51282,-2694.9363,2161.5593
1183272727.2727,0.19353151,-90.544258,57.487103,-2703.6111,2196.3777
1184000000,0.19498968,-102.84193,-37.336388,-2698.7178,2176.6909
1184727272.7273,0.18798266,-91.346268,71.433525,-2706.7651,2275.8955
1185454545.4545,0.19378972,-95.649223,29.968626,-2692.2563,2195.0571
1186181818.1818,0.19265738,-98.51593,-16.857407,-2690.0525,2211.5859
1186909090.9091,0.18721005,-96.365158,-47.560116,-2764.0413,2276.7834
1187636363.6364,0.18496856,-87.316223,-99.980309,-2768.7922,2309.7949
1188363636.3636,0.18574718,-102.83251,-106.19172,-2765.7981,2298.5273
1189090909.0909,0.18310232,-93.986572,-169.29691,-2738.0947,2343.3005
1189818181.8182,0.18471737,-91.753044,136.55251,-2781.1047,2311.364
1190545454.5455,0.18813685,-93.789337,106.71694,-2798.4453,2255.6743
1191272727.2727,0.17488568,-91.623611,94.245667,-2834.7512,2458.189
1192000000,0.1716491,-87.732063,-168.9756,-2864.188,2507.8572
1192727272.7273,0.17622401,-93.006813,-43.211906,-2896.0916,2426.2383
1193454545.4545,0.17666508,-88.322571,146.50673,-2891.303,2419.7446
1194181818.1818,0.17053114,-92.325806,66.378616,-2833.7229,2530.3652
1194909090.9091,0.17498301,-91.240433,122.73592,-2845.8523,2454.9773
1195636363.6364,0.17453636,-94.496078,-76.849411,-2927.3977,2449.1111
1196363636.3636,0.17176455,-93.41304,-125.23479,-2919.5698,2497.8765
1197090909.0909,0.17315093,-92.80452,-112.07725,-2931.2959,2472.1274
1197818181.8182,0.17310038,-99.969101,-93.209053,-3065.0396,2446.4114
1198545454.5455,0.17215264,-89.488403,-146.43425,-3093.9814,2457.1077
1199272727.2727,0.1704126,-93.772026,-163.60201,-3109.8359,2485.802
1200000000,0.17671727,-86.591026,178.92418,-3094.0879,2373.6204
1200727272.7273,0.16805233,-89.342873,152.31119,-3256.6841,2495.1921
1201454545.4545,0.17208809,-86.669395,161.92598,-3133.8054,2448.7239
1202181818.1818,0.16963384,-84.123291,133.22343,-3201.0771,2478.5894
1202909090.9091,0.16821419,-90.288643,169.35391,-3227.4937,2499.6638
1203636363.6364,0.16178192,-94.532272,-174.42198,-3238.9377,2626.459
1204363636.3636,0.16248885,-93.319817,91.4245,-3241.8743,2611.3806
1205090909.0909,0.16271776,-92.222809,129.12184,-3276.4043,2598.8843
1205818181.8182,0.1601885,-91.914009,16.099062,-3423.7935,2615.7319
1206545454.5455,0.15882815,-86.406494,56.361748,-3452.5786,2638.2834
1207272727.2727,0.1569538,-93.194008,49.286739,-3391.946,2695.4441
1208000000,0.15604286,-109.13188,12.658774,-3458.6177,2699.8901
1208727272.7273,0.1562763,-96.041229,129.05927,-3425.7305,2702.6377
1209454545.4545,0.15426669,-87.67762,-88.226616,-3487.3469,2733.7273
1210181818.1818,0.14836259,-94.220139,-75.918747,-3429.1814,2883.8025
1210909090.9091,0.14686668,-93.546181,-116.98826,-3430.5801,2918.8113
1211636363.6364,0.14734663,-95.468391,31.313057,-3475.8958,2899.5798
1212363636.3636,0.14711502,-95.957512,27.807697,-3472.6619,2905.7168
1213090909.0909,0.14453223,-92.035973,128.41536,-3443.0583,2972.6006
1213818181.8182,0.14426246,-89.688736,148.79433,-3481.0195,2973.3447
