!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Wednesday, March 09, 2016 18:28:01
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S21 Phase(�),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm)
1109090909.0909,-42.914787,0.22840819,-35.973362,50.695694,-0.18512407
1109818181.8182,-42.475422,0.22724611,-35.997105,50.715775,-0.24764524
1110545454.5455,-42.893326,0.22863078,-36.040462,50.690346,-0.21022435
1111272727.2727,-42.827667,0.22994526,-36.087463,50.703876,-0.18275942
1112000000,-43.347809,0.22592893,-36.129139,50.637604,-0.24899732
1112727272.7273,-42.873428,0.22385676,-36.157364,50.657631,-0.30057329
1113454545.4545,-43.368126,0.22528705,-36.20142,50.624664,-0.27572682
1114181818.1818,-43.189323,0.22377183,-36.248062,50.640041,-0.27626374
1114909090.9091,-43.135731,0.21812893,-36.279247,50.638145,-0.29113981
1115636363.6364,-43.329418,0.21430317,-36.32655,50.622631,-0.28759852
1116363636.3636,-43.395397,0.21287023,-36.356834,50.62207,-0.27626237
1117090909.0909,-42.87748,0.21253045,-36.415211,50.64373,-0.32833394
1117818181.8182,-43.180046,0.21111749,-36.454956,50.62133,-0.31745577
1118545454.5455,-43.276001,0.20744795,-36.474644,50.622089,-0.29867375
1119272727.2727,-43.883606,0.20648368,-36.49316,50.557335,-0.32073766
1120000000,-43.205597,0.19803825,-36.537689,50.609619,-0.33500144
1120727272.7273,-43.656197,0.19888455,-36.562931,50.563305,-0.3441838
1121454545.4545,-44.306454,0.1995427,-36.590778,50.497047,-0.35725278
1122181818.1818,-43.742325,0.19556288,-36.613167,50.551796,-0.35020828
1122909090.9091,-43.444386,0.19668303,-36.619785,50.569992,-0.36431178
1123636363.6364,-43.600983,0.19321865,-36.667347,50.525402,-0.40616909
1124363636.3636,-43.705589,0.19412084,-36.664085,50.563835,-0.3360678
1125090909.0909,-44.027531,0.18887106,-36.702183,50.52359,-0.35440668
1125818181.8182,-43.504887,0.18619812,-36.727882,50.550919,-0.38419652
1126545454.5455,-43.849964,0.18844479,-36.753086,50.524139,-0.37645602
1127272727.2727,-43.561333,0.19032408,-36.792686,50.527615,-0.40830317
1128000000,-43.461155,0.18975955,-36.809803,50.508945,-0.44303447
1128727272.7273,-43.650879,0.18900633,-36.837906,50.500774,-0.43011132
1129454545.4545,-43.745964,0.19053338,-36.878666,50.49789,-0.42239028
1130181818.1818,-43.613453,0.18859854,-36.909599,50.500542,-0.43474069
1130909090.9091,-43.873592,0.19082135,-36.931683,50.462223,-0.44724089
