Freq [GHz],"dB(S(1,1)) [] - end_t='0.01'","dB(S(1,1)) [] - end_t='0.025'","dB(S(1,1)) [] - end_t='0.2'","dB(S(1,1)) [] - end_t='0.4'","dB(S(1,1)) [] - end_t='0.6'","dB(S(1,1)) [] - end_t='0.8'","dB(S(1,1)) [] - end_t='1'","dB(S(1,1)) [] - end_t='1.2'","dB(S(1,1)) [] - end_t='1.4'","dB(S(1,1)) [] - end_t='1.6'","dB(S(1,1)) [] - end_t='1.8'","dB(S(1,1)) [] - end_t='2'","dB(S(1,1)) [] - end_t='2.2'","dB(S(1,1)) [] - end_t='2.4'","dB(S(1,1)) [] - end_t='2.6'","dB(S(1,1)) [] - end_t='0.01'","dB(S(1,1)) [] - end_t='0.025'","dB(S(1,1)) [] - end_t='0.2'","dB(S(1,1)) [] - end_t='0.4'","dB(S(1,1)) [] - end_t='0.6'","dB(S(1,1)) [] - end_t='0.8'","dB(S(1,1)) [] - end_t='1'","dB(S(1,1)) [] - end_t='1.2'","dB(S(1,1)) [] - end_t='1.4'","dB(S(1,1)) [] - end_t='1.6'","dB(S(1,1)) [] - end_t='1.8'","dB(S(1,1)) [] - end_t='2'","dB(S(1,1)) [] - end_t='2.2'","dB(S(1,1)) [] - end_t='2.4'","dB(S(1,1)) [] - end_t='2.6'"
0.059,,,,,,,,,,,,,,,,-0.001892738,-0.001549646,-0.003038343,-0.001753315,-0.001334646,-0.002678628,-0.003472035,-0.002969865,-0.003407351,-0.004280473,-0.004965892,-0.004572218,-0.005993175,-0.006227596,-0.009001251
0.06,,,,,,,,,,,,,,,,-0.001924167,-0.001579013,-0.00308634,-0.001782849,-0.001361296,-0.002720333,-0.003523138,-0.00301636,-0.003461987,-0.00434644,-0.005053137,-0.004664425,-0.006123228,-0.00638159,-0.009263181
0.061,,,,,,,,,,,,,,,,-0.001958655,-0.001611575,-0.003137426,-0.001815676,-0.001391307,-0.002765143,-0.003577334,-0.003066065,-0.003519966,-0.004415806,-0.005144182,-0.004760751,-0.00625806,-0.006540951,-0.009532692
0.062,,,,,,,,,,,,,,,,-0.001995962,-0.001647092,-0.003191365,-0.001851536,-0.001424435,-0.002812818,-0.00363438,-0.003118743,-0.003581053,-0.004488325,-0.005238791,-0.004860973,-0.006397442,-0.006705467,-0.0098096
0.063,,,,,,,,,,,,,,,,-0.002035855,-0.00168533,-0.003247922,-0.001890172,-0.001460439,-0.002863124,-0.003694037,-0.003174163,-0.003645015,-0.004563755,-0.005336731,-0.004964868,-0.006541147,-0.006874933,-0.010093728
0.064,,,,,,,,,,,,,,,,-0.002078103,-0.001726058,-0.003306869,-0.001931337,-0.001499084,-0.002915831,-0.003756071,-0.003232093,-0.003711625,-0.004641855,-0.005437773,-0.00507222,-0.006688955,-0.00704915,-0.010384913
0.065,,,,,,,,,,,,,,,,-0.002122484,-0.001769054,-0.003367986,-0.001974789,-0.001540142,-0.002970715,-0.003820254,-0.003292313,-0.003780662,-0.004722394,-0.005541693,-0.005182815,-0.006840652,-0.007227924,-0.010683005
0.066,,,,,,,,,,,,,,,,-0.002168782,-0.001814101,-0.003431056,-0.002020294,-0.00158339,-0.003027559,-0.003886363,-0.003354604,-0.00385191,-0.004805145,-0.005648274,-0.005296447,-0.006996033,-0.007411072,-0.010987869
0.067,,,,,,,,,,,,,,,,-0.00221679,-0.001860991,-0.003495873,-0.002067627,-0.001628616,-0.003086154,-0.003954186,-0.003418758,-0.00392516,-0.004889891,-0.005757306,-0.005412917,-0.0071549,-0.007598418,-0.011299383
0.068,,,,,,,,,,,,,,,,-0.002266308,-0.001909525,-0.003562237,-0.002116575,-0.001675615,-0.003146298,-0.004023516,-0.003484574,-0.004000211,-0.004976421,-0.005868585,-0.005532031,-0.007317063,-0.007789797,-0.011617445
0.069,,,,,,,,,,,,,,,,-0.002317145,-0.001959513,-0.003629958,-0.002166932,-0.001724192,-0.003207799,-0.004094157,-0.003551858,-0.004076871,-0.005064535,-0.005981918,-0.005653605,-0.007482345,-0.007985053,-0.011941967
0.07,,,,,,,,,,,,,,,,-0.002369123,-0.002010774,-0.003698856,-0.002218505,-0.001774162,-0.003270476,-0.004165922,-0.003620428,-0.004154956,-0.005154041,-0.00609712,-0.005777463,-0.007650577,-0.008184044,-0.012272881
